camdist,camang,pattdist,gap,pixrange
2500.0,90.0,2000.0,1.0,[100, 2500]
R,sx,sy
29853.8108282,0.322009277438,29852.7864717
ldx,ldy,slopeerror,vsm
-857.67868071,11.3066487702,-2.35684646885e-05,-1417.58801762
-857.013363931,11.2875353092,-2.35294473758e-05,-1416.50564484
-856.348031884,11.2684362295,-2.34904852342e-05,-1415.42320768
-855.682684579,11.2493515323,-2.34515782613e-05,-1414.3407062
-855.017322028,11.230281219,-2.34127264558e-05,-1413.25814042
-854.351944241,11.2112252909,-2.33739298163e-05,-1412.17551041
-853.686551229,11.1921837494,-2.33351883405e-05,-1411.09281619
-853.021143005,11.1731565959,-2.32965020269e-05,-1410.01005782
-852.355719579,11.1541438316,-2.32578708736e-05,-1408.92723534
-851.690280963,11.135145458,-2.32192948789e-05,-1407.84434878
-851.024827166,11.1161614763,-2.31807740402e-05,-1406.7613982
-850.359358202,11.097191888,-2.31423083556e-05,-1405.67838365
-849.693874081,11.0782366943,-2.31038978234e-05,-1404.59530515
-849.028374814,11.0592958966,-2.30655424407e-05,-1403.51216276
-848.362860412,11.0403694963,-2.30272422061e-05,-1402.42895652
-847.697330887,11.0214574946,-2.29889971167e-05,-1401.34568647
-847.031786249,11.0025598929,-2.29508071698e-05,-1400.26235266
-846.366226511,10.9836766926,-2.29126723636e-05,-1399.17895513
-845.700651682,10.964807895,-2.28745926955e-05,-1398.09549392
-845.035061776,10.9459535014,-2.28365681625e-05,-1397.01196908
-844.369456801,10.9271135131,-2.27985987626e-05,-1395.92838066
-843.703836771,10.9082879316,-2.27606844928e-05,-1394.84472869
-843.038201696,10.8894767581,-2.272282535e-05,-1393.76101322
-842.372551587,10.8706799939,-2.26850213315e-05,-1392.67723429
-841.706886455,10.8518976404,-2.26472724352e-05,-1391.59339195
-841.041206312,10.8331296989,-2.26095786576e-05,-1390.50948624
-840.375511169,10.8143761708,-2.25719399956e-05,-1389.42551721
-839.709801038,10.7956370573,-2.25343564458e-05,-1388.3414849
-839.044075928,10.7769123599,-2.24968280059e-05,-1387.25738935
-838.378335853,10.7582020798,-2.24593546725e-05,-1386.17323061
-837.712580822,10.7395062183,-2.24219364418e-05,-1385.08900871
-837.046810847,10.7208247768,-2.2384573311e-05,-1384.00472371
-836.38102594,10.7021577566,-2.23472652764e-05,-1382.92037566
-835.715226111,10.6835051591,-2.23100123351e-05,-1381.83596458
-835.049411372,10.6648669855,-2.22728144829e-05,-1380.75149053
-834.383581734,10.6462432371,-2.22356717167e-05,-1379.66695355
-833.717737208,10.6276339154,-2.2198584033e-05,-1378.58235369
-833.051877806,10.6090390215,-2.21615514279e-05,-1377.49769098
-832.386003538,10.5904585569,-2.21245738973e-05,-1376.41296548
-831.720114417,10.5718925228,-2.20876514382e-05,-1375.32817722
-831.054210453,10.5533409206,-2.20507840454e-05,-1374.24332626
-830.388291657,10.5348037515,-2.2013971717e-05,-1373.15841263
-829.722358041,10.516281017,-2.19772144469e-05,-1372.07343638
-829.056409617,10.4977727182,-2.1940512233e-05,-1370.98839755
-828.390446394,10.4792788566,-2.19038650693e-05,-1369.90329619
-827.724468385,10.4607994333,-2.18672729526e-05,-1368.81813234
-827.058475601,10.4423344499,-2.18307358792e-05,-1367.73290605
-826.392468052,10.4238839074,-2.17942538434e-05,-1366.64761736
-825.726445752,10.4054478073,-2.17578268421e-05,-1365.56226631
-825.060408709,10.3870261509,-2.17214548699e-05,-1364.47685295
-824.394356937,10.3686189395,-2.1685137923e-05,-1363.39137733
-823.728290445,10.3502261743,-2.16488759963e-05,-1362.30583948
-823.062209247,10.3318478568,-2.16126690855e-05,-1361.22023945
-822.396113351,10.3134839881,-2.15765171858e-05,-1360.13457729
-821.730002771,10.2951345696,-2.15404202928e-05,-1359.04885304
-821.063877517,10.2767996026,-2.15043784006e-05,-1357.96306674
-820.3977376,10.2584790884,-2.14683915058e-05,-1356.87721844
-819.731583032,10.2401730283,-2.14324596028e-05,-1355.79130818
-819.065413824,10.2218814235,-2.13965826865e-05,-1354.70533601
-818.399229987,10.2036042755,-2.13607607519e-05,-1353.61930197
-817.733031533,10.1853415855,-2.13249937935e-05,-1352.53320611
-817.066818473,10.1670933548,-2.12892818071e-05,-1351.44704847
-816.400590818,10.1488595846,-2.12536247861e-05,-1350.36082909
-815.73434858,10.1306402764,-2.12180227262e-05,-1349.27454802
-815.068091769,10.1124354313,-2.11824756219e-05,-1348.18820531
-814.401820397,10.0942450507,-2.11469834674e-05,-1347.10180099
-813.735534476,10.0760691358,-2.11115462572e-05,-1346.01533512
-813.069234016,10.057907688,-2.10761639861e-05,-1344.92880773
-812.402919029,10.0397607086,-2.10408366482e-05,-1343.84221888
-811.736589526,10.0216281987,-2.10055642377e-05,-1342.7555686
-811.070245519,10.0035101599,-2.0970346749e-05,-1341.66885694
-810.403887019,9.98540659317,-2.0935184176e-05,-1340.58208395
-809.737514037,9.96731749998,-2.09000765134e-05,-1339.49524966
-809.071126584,9.94924288158,-2.08650237548e-05,-1338.40835414
-808.404724672,9.93118273924,-2.08300258944e-05,-1337.32139741
-807.738308312,9.91313707426,-2.07950829253e-05,-1336.23437952
-807.071877515,9.89510588792,-2.07601948427e-05,-1335.14730052
-806.405432293,9.8770891815,-2.07253616394e-05,-1334.06016045
-805.738972657,9.85908695627,-2.06905833091e-05,-1332.97295937
-805.072498619,9.84109921353,-2.0655859846e-05,-1331.8856973
-804.406010188,9.82312595455,-2.06211912434e-05,-1330.7983743
-803.739507378,9.8051671806,-2.05865774953e-05,-1329.71099041
-803.072990199,9.78722289298,-2.0552018594e-05,-1328.62354568
-802.406458663,9.76929309294,-2.05175145343e-05,-1327.53604015
-801.73991278,9.75137778178,-2.04830653085e-05,-1326.44847387
